# Semiconductor Yield Analysis is easy with Quantix! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Check latest news: www.mentor.com ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created by: Galaxy Yield-Man - V7.0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Examinator Data File: Edit/Add/Remove any data you want! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--- Csv version:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--- Global Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2011_09_01 03:06:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SetupTime,2011_08_31 00:30:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTime,2011_09_01 03:06:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinishTime,2011_09_01 04:18:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProgramName,Universal\HACB3\rev4.03\HACB3_MS_WLBI.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProgramRevision,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot,249028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubLot,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wafer,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wafer_Pos_X, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wafer_Pos_Y, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TesterName,sct60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TesterType,SCT400-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,DDHACB3FHRT_403_P3N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,sct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExecRevision,136_70-9-20-40.28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestCode,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModeCode,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,-45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family,HRDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor,DD^HACB^3F^HR^T^^^^T^HRDN^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpecVersion,sct60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TesterSerialNumber,CPU:sct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--- Site details:, Head #0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site group,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testing sites,0 1 2 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handler type,P8-40-SCT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--- Options:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnitsMode,normalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter, SBIN,HBIN,DIE_X,DIE_Y,SITE,TIME,TOTAL_TESTS,LOT_ID,WAFER_ID,CoilNumber,CoilFactor,CheckSMU2,LoadBoard,X-Coord,Y-Coord,XcvrRev,SiteNumber,KepcoCkeck@+1A,KepcoCkeck@-1A,KepcoCkeck@0A,Contact@.1A,ContactVdd-Gnd,ContactOut-Gnd,ContactShorts,X_Isup@12.5V,I@VDDMAX/I@4.5V,X_AdjustVDDP,X_Voq(0mT),NB_Uout@0mT
Tests#,,,,,,,,,,1,2,3,4,5,6,12,13,15,16,17,70,73,75,77,104,111,112,580,4325
Patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
